right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
#c4a492,#906e5b,,#ae8c7b,#d7b7a5,,#5b4134,#766158,,#4e392f,#aa928b,,#eacab8,#f3d3c4,#e6c4b1,#f0d2c4,#eacab9,#e0bfac,#cb948c,#552a22,,#efd2c1,#cba897,,#e5c5b3,#b48475,,fall_mute
#302a28,#7a695f,,#221c1b,#6e5d57,,#afa096,#52463e,,#9b857e,#604841,,#cab5a9,#be9f8f,#aa8672,#cbbaac,#b5b5b0,#beb7ad,#ba8984,#925557,,#bea090,#7a564a,,#c0a798,#8b6755,,fall_mute
#c3a7a1,#745c59,,#533a39,#b4968f,,#c0978e,#c4a199,,#372625,#ad8d8d,,#f4d1c2,#f9e2d8,#e5bfb4,#fae7da,#f6d8c9,#e6c4b5,#dd9b9f,#ae5e65,,#eec9bf,#b78980,,#edcdc2,#b68d89,,fall_mute
#836b62,#382b27,,#5e4639,#856958,,#2c201d,#8f898a,,,,,#bda49d,#b8a094,#af978b,#c1aaa1,#ae9382,#886b58,#9a5a54,#7c3129,,#b79d93,#8a6451,,#b29789,#785343,,fall_mute
#453d2e,#695d41,,#4a3c2d,#706048,,#2c2c2b,#5c5852,,#313133,#807a77,,#d2b7a6,#e4cdc4,#a38b6f,#b49f87,#e6d5ca,#cfb8a7,#b78583,#815147,,#ece2d5,#9b8465,,#ccb6a4,#644f39,,fall_mute
#453832,#816b61,,#201816,#5e4c45,,#b3a5a0,#6f5a4f,,#ada29d,#685347,,#ceb3a2,#ac8973,#c19d89,#d3c2b7,#d3beb2,#ceb6a7,#ba807e,#955657,,#c8aa9c,#81594e,,#caac9c,#9d7565,,fall_mute
#4d3127,#8e685b,,#8b655b,#472a22,,#482a21,#ad847a,,#5f3e35,#916a61,,#eecdc3,#582f22,#ad7b6e,#e6c0b3,#f0cec0,#c19c8f,#dea4a3,#bf7271,,#eccabf,#ab7b72,,#d8afa4,#764b3e,,fall_mute
#b59a95,#69504e,,#543b3a,#a88a85,,#a28482,#3c2b2c,,#ab8681,#714f4d,,#f9e4d9,#f7d6c8,#eec8bb,#f4d2c4,#e4c1b2,#f9e3d5,#c5797d,#eed0cd,,#f4d4c8,#d4a79d,,#efcfc2,#c09089,,fall_mute
#786669,#312325,,#776465,#a99495,,#291a1b,#806e73,,,,,#f5dede,#e8cdcc,#d1b4b2,#dabebe,#bba09e,#685756,#d498a2,#a5646f,,#f1dedd,#a18282,,#d1b6b5,#675151,,fall_mute
#64473f,#a98a7f,,#513933,#9c8077,,#492e26,#bb9692,,#36201c,#987875,,#ceb0a4,#d3b7ac,#c8a89b,#eed8cf,#e3c9be,#d7bcae,#89413c,#c18480,,#d4b4a8,#6d3f37,,#d9bbae,#9e6a5f,,fall_mute
