right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
1907486,5392713,0,7562597,3614503,0,2497304,8153961,0,3284509,9007213,0,14926520,14203051,12754576,12626846,13481130,8417895,11695478,8406340,0,14730167,10254962,0,13085340,8149330,0,fall_mute
7293231,9924178,0,4598553,7687736,0,8280903,12883320,0,11045751,12228484,0,13936262,11041627,12685936,16376782,16046017,15715249,10509125,14194558,0,14332306,10383700,0,15650740,10711893,0,fall_mute
4993575,7231057,0,4337966,2627348,0,10979977,4796206,0,9599350,3085845,0,12691613,8480091,0,14138803,13349801,11967636,10844025,8014156,0,13480874,9795181,0,13480873,9927541,0,fall_mute
6047040,2694424,0,2759700,6704707,0,0,0,0,2760475,10653060,0,15652277,15388848,14993838,13479590,12426904,10517874,12422787,9328464,0,14861229,9924703,0,14269604,8610131,0,fall_mute
2629400,7364180,0,3944489,6969938,0,3154202,8744293,0,9468272,3154203,0,14337985,13679024,12428439,14073780,13613225,12955033,11497584,8207159,0,14469825,9465440,0,13152677,8872788,0,fall_mute
2696222,6312779,0,12362385,9400674,0,922130,6778734,0,2566699,11186097,0,13942192,13547171,12822418,12032390,9598820,0,12353397,7817281,0,13612967,9795431,0,13151901,7691087,0,fall_mute
4207661,8022623,0,2432794,6640715,0,8811374,2892581,0,3617327,10128003,0,15588566,15127498,14468795,15324364,14336440,12822946,13799824,10309969,0,14468282,8413012,0,14732224,11768716,0,fall_mute
4006177,9006186,0,5255474,11373198,0,0,0,0,3021343,6309193,0,13280926,15716814,0,16112854,15059394,13808551,13543081,8212819,0,15651793,9989228,0,14203315,9531236,0,fall_mute
6639702,9533309,0,9205899,12822197,0,4994876,11704230,0,4796986,10716051,0,15321296,15717596,0,13018016,11108208,14202039,10378344,13801130,0,14662080,8804696,0,14661565,11173753,0,winter_bright
13543061,8872273,0,5257782,16053492,0,13078919,6041898,0,14129543,0,0,15185312,11629922,0,14788751,13604992,16042423,14125435,10308929,0,14724249,11366745,0,14657939,9395278,0,winter_bright
11638415,7362128,0,8086356,12560273,0,11571599,4993582,0,10585723,3941405,0,15321786,15849161,14925224,14859954,13016973,11699826,12814471,8207421,0,11304819,16311516,0,14202277,11305327,0,winter_bright
4537153,10979972,0,4669767,9799046,0,0,0,0,11241606,3875362,0,15648443,14135976,16243932,14988971,13212044,0,13931412,11034724,0,14593949,8015938,0,14792876,8018004,0,winter_bright
8613488,5455937,0,11505806,13744056,0,9865104,5127751,0,4472395,10916767,0,15717847,15322315,14925754,13874102,13413550,12624035,13732261,11035004,0,14796229,10846336,0,14664386,10714495,0,winter_bright
7754307,10188908,0,8477775,10715510,0,2958375,9273220,0,2695459,9206913,0,14269882,13742764,12755865,13281958,14138298,12097167,11498627,7552065,0,13415339,8346965,0,12492951,7359810,0,winter_bright
10979982,13613247,0,10981790,6706273,0,4343128,10064034,0,4472654,8553625,0,15125976,15522789,14532553,15983337,15850465,15651288,13405105,14270422,0,15390430,13872054,0,14928339,7951960,0,winter_bright
6708580,10062733,0,7300201,10720918,0,4604233,8747906,0,5261905,9208715,0,14204858,14995921,12494497,14204858,12954789,11245203,12156551,8013902,0,13942453,8218209,0,13021098,7561828,0,winter_bright
6374720,9597812,0,4469284,6311487,0,4598048,7689808,0,3612949,6113080,0,9202522,9203549,9070677,12886174,11174783,12162193,6766134,10120042,0,9399649,11439750,0,12359830,8018766,0,winter_bright
8217172,12559255,0,3746336,7297355,0,10058607,3218453,0,5258036,1969416,0,13806749,12557452,10255467,14729654,14004386,12754059,10910066,5648166,0,14203569,6176561,0,13215127,8084814,0,winter_bright
