b1,s1,v1,tone,saturation,brightness
0.16686484375,-0.1487497751394136,0.35294117647058826,cool,bright,dark
0.00746015625,-0.39130504660880744,0.4549019607843137,cool,bright,dark
0.10111875,-0.24204889004059774,0.38823529411764707,cool,bright,dark
0.04586328125,-0.3853688560626044,0.37254901960784315,cool,bright,dark
0.0585765625,-0.3306644880174292,0.34509803921568627,cool,bright,dark
0.0147078125,-0.37375565610859734,0.41568627450980394,cool,bright,dark
0.0959828125,-0.2984209613048759,0.3843137254901961,cool,bright,dark
0.1560484375,-0.17148868130943365,0.4117647058823529,cool,bright,dark
0.153571875,-0.1512498838397918,0.3254901960784314,cool,bright,dark
0.11508359375,-0.2474964985994398,0.3764705882352941,cool,bright,dark
0.069034375,-0.29719887955182067,0.3215686274509804,cool,bright,dark
0.07529765625,-0.2610516934046346,0.3607843137254902,cool,bright,dark
0.07904140625,-0.29553876596510165,0.35294117647058826,cool,bright,dark
0.06824921875,-0.3105732245051131,0.3176470588235294,cool,bright,dark
0.12280546875,-0.1578747628083491,0.22745098039215686,cool,bright,dark
0.184265625,-0.1330718954248366,0.3803921568627451,cool,bright,dark
0.0399171875,-0.40557524214505075,0.4745098039215686,cool,bright,dark
0.0740890625,-0.257062825130052,0.26666666666666666,cool,bright,dark
0.02419921875,-0.3577747378020976,0.3411764705882353,cool,bright,dark
0.02865078125,-0.3218659975838677,0.3254901960784314,cool,bright,dark
0.11594765625,-0.20547837225342397,0.2784313725490196,cool,bright,dark
0.09651484375,-0.23112745098039217,0.25098039215686274,cool,bright,dark
-0.0035765625,-0.3722536713430142,0.43529411764705883,cool,bright,dark
0.0666109375,-0.3415834258231595,0.32941176470588235,cool,bright,dark
0.01971015625,-0.37579256001466005,0.33725490196078434,cool,bright,dark
0.05474140625,-0.32429580969443617,0.27058823529411763,cool,bright,dark
0.03836015625,-0.37260755048287975,0.28627450980392155,cool,bright,dark
-0.1,-0.3496765203543346,0.27058823529411763,cool,bright,dark
0.0354796875,-0.3492514247078142,0.29411764705882354,cool,bright,dark
-0.08309765625,-0.3591036414565827,0.23921568627450981,cool,bright,dark
0.14072578125,-0.13747480300531426,0.33725490196078434,cool,bright,dark
0.11096640625,-0.25772115297732,0.34901960784313724,cool,bright,dark
0.11224140625,-0.2393345216874628,0.27450980392156865,cool,bright,dark
0.07619453125,-0.28836855130401673,0.3058823529411765,cool,bright,dark
-0.01587421875,-0.40152410309101805,0.396078431372549,cool,bright,dark
0.04878515625,-0.35044563279857394,0.27450980392156865,cool,bright,dark
0.06296328125,-0.28387567793074675,0.23529411764705882,cool,bright,dark
0.0706078125,-0.29741532976827095,0.3607843137254902,cool,bright,dark
0.0665,-0.3161200763491237,0.3843137254901961,cool,bright,dark
0.0259265625,-0.3196691176470588,0.25098039215686274,cool,bright,dark
0.05398828125,-0.3426687489154954,0.3843137254901961,cool,bright,dark
0.1108984375,-0.2758738277919864,0.4,cool,bright,dark
0.096959375,-0.29582043343653247,0.39215686274509803,cool,bright,dark
0.0822671875,-0.3106564364876385,0.4,cool,bright,dark
0.10011640625,-0.28599834299917154,0.3333333333333333,cool,bright,dark
0.1289828125,-0.18755030396438052,0.396078431372549,cool,bright,dark
0.10625625,-0.21400266913047938,0.24705882352941178,cool,bright,dark
0.10677890625,-0.2596700354150471,0.38823529411764707,cool,bright,dark
0.07323125,-0.24901960784313726,0.16470588235294117,cool,bright,dark
0.0935359375,-0.261319073083779,0.23137254901960785,cool,bright,dark
0.05670703125,-0.34988705159483147,0.34901960784313724,cool,bright,dark
0.10264921875,-0.25884151825867957,0.35294117647058826,cool,bright,dark
0.02558828125,-0.3719159412643982,0.37254901960784315,cool,bright,dark
0.0909046875,-0.28767507002801124,0.3215686274509804,cool,bright,dark
0.12783515625,-0.2143501648446989,0.3843137254901961,cool,bright,dark
0.09640078125,-0.33318441300570867,0.42745098039215684,cool,bright,dark
0.1332484375,-0.20281548516842635,0.41568627450980394,cool,bright,dark
0.05391484375,-0.28929110105580697,0.36470588235294116,cool,bright,dark
0.0610859375,-0.33377896613190733,0.3607843137254902,cool,bright,dark
0.12802421875,-0.19466911764705883,0.25098039215686274,cool,bright,dark
0.105709375,-0.1995217599234816,0.30196078431372547,cool,bright,dark
0.04902890625,-0.3473216090559935,0.25882352941176473,cool,bright,dark
0.0921921875,-0.26216486594637856,0.26666666666666666,cool,bright,dark
